# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 260         5.180       52.100      1.90        De Bilt     
# YYYYMMDD  : datum (YYYY=jaar;MM=maand;DD=dag)
# HH        : tijd (HH=uur; UT.12 UT=13 MET; 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT
# T         : Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming / Temperature (in 0.1 degrees Celsius) at 1.50 m at the time of observation
# T10N      : Minimumtemperatuur (in 0.1 graden Celsius) op 10 cm hoogte in de afgelopen 6 uur / Minimum temperature (in 0.1 degrees Celsius) at 0.1 m in the preceding 6-hour period
# TD        : Dauwpuntstemperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming / Dew point temperature (in 0.1 degrees Celsius) at 1.50 m at the time of observation
# DR        : Duur van de neerslag (in 0.1 uur) per uurvak / Precipitation duration (in 0.1 hour) during the hourly division
# RH        : Uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# DD        : Windrichting (in graden) gemiddeld over de laatste 10 minuten van het afgelopen uur (360=noord; 90=oost; 180=zuid; 270=west; 0=windstil 990=veranderlijk. Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken / Mean wind direction (in degrees) during the 10-minute period preceding the time of observation (360=north; 90=east; 180=south; 270=west; 0=calm 990=variable)
# FH        : Uurgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken / Hourly mean wind speed (in 0.1 m/s)
# FF        : Windsnelheid (in 0.1 m/s) gemiddeld over de laatste 10 minuten van het afgelopen uur / Mean wind speed (in 0.1 m/s) during the 10-minute period preceding the time of observation
# FX        : Hoogste windstoot (in 0.1 m/s) over het afgelopen uurvak / Maximum wind gust (in 0.1 m/s) during the hourly division
# SQ        : Duur van de zonneschijn (in 0.1 uren) per uurvak; berekend uit globale straling  (-1 for <0.05 uur) / Sunshine duration (in 0.1 hour) during the hourly division; calculated from global radiation (-1 for <0.05 hour)
# Q         : Globale straling (in J/cm2) per uurvak / Global radiation (in J/cm2) during the hourly division
# STN,YYYYMMDD,   HH,    T, T10N,   TD,   DR,   RH,   DD,   FH,   FF,   FX,   SQ,    Q
  260,20210101,    1,  -25,     ,  -26,    0,    0,  230,   10,   10,   20,    0,    0
  260,20210101,    2,  -32,     ,  -34,    0,    0,  230,   10,   10,   20,    0,    0
  260,20210101,    3,  -27,     ,  -29,    0,    0,  230,   20,   20,   30,    0,    0
  260,20210101,    4,  -11,     ,  -14,    0,    0,  220,   20,   20,   30,    0,    0
  260,20210101,    5,   11,     ,    5,    0,    0,  230,   20,   20,   40,    0,    0
  260,20210101,    6,   19,  -30,    9,    0,    0,  230,   30,   30,   40,    0,    0
  260,20210101,    7,   22,     ,    8,    0,    0,  230,   20,   30,   40,    0,    0
  260,20210101,    8,   27,     ,   11,    0,    0,  230,   30,   30,   40,    0,    0
  260,20210101,    9,   31,     ,   17,    0,    0,  230,   20,   30,   50,    0,    6
  260,20210101,   10,   35,     ,   20,    0,    0,  220,   20,   20,   50,    0,   19
  260,20210101,   11,   46,     ,   30,    0,    0,  230,   20,   10,   40,    2,   41
  260,20210101,   12,   50,    5,   31,    0,    0,  210,   20,   10,   30,    7,   67
  260,20210101,   13,   54,     ,   36,    0,    0,  200,   10,   10,   30,    0,   31
  260,20210101,   14,   56,     ,   35,    0,    0,  220,   20,   30,   50,    0,   20
  260,20210101,   15,   54,     ,   32,    0,    0,  230,   30,   30,   60,    0,    9
  260,20210101,   16,   51,     ,   36,    0,    0,  230,   20,   20,   50,    0,    1
  260,20210101,   17,   49,     ,   34,    0,    0,  240,   20,   20,   40,    0,    0
  260,20210101,   18,   46,   41,   32,    0,    0,  240,   20,   30,   50,    0,    0
  260,20210101,   19,   45,     ,   34,    0,    0,  230,   20,   20,   50,    0,    0
  260,20210101,   20,   46,     ,   35,    0,    0,  220,   20,   20,   30,    0,    0
  260,20210101,   21,   38,     ,   30,    0,    0,  220,   20,   20,   30,    0,    0
  260,20210101,   22,   41,     ,   33,    0,    0,  210,   20,   20,   30,    0,    0
  260,20210101,   23,   42,     ,   34,    0,    0,  210,   30,   30,   50,    0,    0
  260,20210101,   24,   45,   26,   35,    0,    0,  230,   30,   30,   50,    0,    0
  260,20210102,    1,   41,     ,   33,    0,    0,  220,   30,   20,   50,    0,    0
  260,20210102,    2,   40,     ,   33,    0,    0,  220,   20,   20,   50,    0,    0
  260,20210102,    3,   37,     ,   27,    0,    0,  200,   20,   20,   30,    0,    0
  260,20210102,    4,   36,     ,   28,    0,    0,  220,   20,   20,   40,    0,    0
  260,20210102,    5,   34,     ,   27,    0,    0,  200,   20,   20,   40,    0,    0
  260,20210102,    6,   33,   29,   26,    0,    0,  220,   20,   20,   30,    0,    0
  260,20210102,    7,   32,     ,   30,    0,    0,  210,   20,   20,   30,    0,    0
  260,20210102,    8,   32,     ,   31,    0,    0,  180,   20,   20,   40,    0,    0
  260,20210102,    9,   33,     ,   30,    4,    1,  220,   20,   20,   40,    0,    4
  260,20210102,   10,   34,     ,   31,    0,    0,  200,   30,   20,   40,    0,   12
  260,20210102,   11,   37,     ,   32,    0,    0,  210,   20,   20,   30,    0,   28
  260,20210102,   12,   37,   31,   34,    0,   -1,  200,   30,   20,   50,    0,   17
  260,20210102,   13,   37,     ,   33,    0,    0,  220,   20,   20,   40,    0,   18
